SUBID,NEIGHBOURS
8801544.0,"[8000656.0, 8800005.0, 8800002.0]"
8801548.0,[8000659.0]
8000005.0,"[8000008.0, 8000007.0, 8000006.0, 8115621.0, 8105200.0]"
8115258.0,"[8102609.0, 8103951.0, 8115701.0, 8115250.0, 8117208.0, 8115462.0, 8101118.0, 8103805.0, 8115523.0]"
8115717.0,"[8102609.0, 8000007.0, 8115317.0, 8117044.0, 8117208.0]"
8000008.0,"[8000005.0, 8000007.0, 8000006.0]"
8102609.0,"[8115258.0, 8115717.0, 8103951.0, 8000007.0, 8117208.0]"
8103951.0,"[8115258.0, 8102609.0, 8000007.0, 8115701.0, 8115621.0]"
8000007.0,"[8000005.0, 8115717.0, 8000008.0, 8102609.0, 8103951.0, 8000006.0, 8115621.0, 8115649.0, 8115317.0]"
8000006.0,"[8000005.0, 8000008.0, 8000007.0, 8105200.0, 8115649.0]"
8205398.0,"[8205660.0, 8200926.0, 8202845.0, 8205433.0, 8203311.0]"
8205496.0,"[8205854.0, 8205660.0, 8205577.0, 8205672.0, 8205735.0, 8205843.0]"
8205854.0,"[8205496.0, 8201551.0, 8205577.0, 8205884.0, 8205277.0, 8205672.0]"
8201551.0,"[8205854.0, 8205884.0]"
8205660.0,"[8205398.0, 8205496.0, 8205577.0, 8205433.0, 8205533.0, 8205843.0, 8203311.0]"
8205577.0,"[8205496.0, 8205854.0, 8205660.0, 8205884.0, 8205533.0]"
8205884.0,"[8205854.0, 8201551.0, 8205577.0, 8205277.0, 8205274.0, 8205533.0]"
8801550.0,[8000656.0]
8210493.0,"[8201950.0, 8000473.0, 8210176.0, 8209920.0, 8000043.0, 8210647.0, 8210088.0, 8000475.0, 8210663.0]"
8201950.0,[8210493.0]
8000473.0,"[8210493.0, 8210176.0, 8000043.0, 8000475.0]"
8210176.0,"[8210493.0, 8000473.0, 8000475.0, 8210663.0]"
8202592.0,"[8202578.0, 8204286.0, 8200253.0]"
8000018.0,"[8208362.0, 8208864.0, 8211298.0, 8000017.0, 8000015.0, 8211254.0, 8000016.0]"
8200211.0,"[8209668.0, 8210928.0, 8211158.0, 8211185.0, 8212379.0]"
8200275.0,"[8208864.0, 8210842.0, 8211298.0, 8212379.0, 8210530.0, 8200283.0]"
8200309.0,"[8213932.0, 8214299.0, 8214322.0, 8214198.0, 8210775.0]"
8200349.0,[8200586.0]
8203965.0,"[8204020.0, 8214080.0, 8214311.0, 8324926.0]"
8204020.0,"[8203965.0, 8214080.0, 8324926.0, 8325018.0, 8325031.0]"
8204793.0,[8200301.0]
8204812.0,[8212161.0]
8207657.0,"[8209668.0, 8211752.0, 8212280.0, 8212253.0, 8207414.0]"
8207767.0,"[8212919.0, 8212063.0]"
8208362.0,"[8000018.0, 8208864.0, 8000016.0, 8000012.0, 8211211.0, 8200484.0]"
8208448.0,"[8211914.0, 8211467.0, 8210761.0, 8211703.0, 8212291.0]"
8208577.0,[8207989.0]
8208864.0,"[8000018.0, 8200275.0, 8208362.0, 8211298.0, 8211211.0, 8200283.0]"
8209108.0,"[8207989.0, 8214855.0, 8214477.0]"
8209235.0,"[8210364.0, 8214235.0, 8210775.0, 8207864.0]"
8209383.0,[8207864.0]
8209465.0,"[8211411.0, 8213875.0, 8207864.0]"
8209668.0,"[8200211.0, 8207657.0, 8210928.0, 8211158.0, 8211752.0, 8211701.0, 8207414.0, 8211730.0]"
8209724.0,"[8210856.0, 8211117.0, 8211597.0, 8207864.0]"
8210020.0,[8207864.0]
8210244.0,"[8210546.0, 8211429.0, 8212265.0, 8210165.0, 8212131.0, 8212549.0]"
8210364.0,"[8209235.0, 8214235.0, 8207864.0]"
8210448.0,"[8214235.0, 8214311.0, 8207864.0]"
8210546.0,"[8210244.0, 8212423.0, 8211429.0, 8211467.0, 8212123.0, 8212131.0, 8212549.0]"
8210645.0,[8207864.0]
8210693.0,"[8211429.0, 8212265.0, 8315558.0, 8212154.0, 8210516.0]"
8210842.0,"[8200275.0, 8210959.0, 8212379.0, 8200283.0, 8210443.0]"
8210853.0,[8207864.0]
8210856.0,"[8209724.0, 8211597.0, 8207864.0]"
8210928.0,"[8200211.0, 8209668.0, 8211701.0, 8212379.0, 8210530.0]"
8210947.0,"[8211025.0, 8211552.0, 8212502.0, 8301699.0, 8212274.0, 8212291.0, 8320164.0, 8325018.0, 8325429.0]"
8210959.0,"[8210842.0, 8211158.0, 8211185.0, 8212379.0, 8208527.0, 8210443.0]"
8210985.0,"[8211411.0, 8207864.0, 8211505.0]"
8211025.0,"[8210947.0, 8212382.0, 8301699.0, 8210747.0, 8212291.0]"
8211077.0,[8211062.0]
8211101.0,[8211062.0]
8211117.0,"[8209724.0, 8211597.0, 8214027.0, 8207864.0]"
8211126.0,[8210402.0]
8211158.0,"[8200211.0, 8209668.0, 8210959.0, 8211752.0, 8211185.0, 8208527.0, 8211565.0, 8212377.0, 8211410.0]"
8211385.0,"[8211446.0, 8214707.0, 8211429.0, 8212552.0, 8211344.0, 8212549.0, 8315558.0, 8302098.0]"
8211389.0,"[8211563.0, 8211983.0, 8211730.0, 8211396.0, 8207864.0, 8211505.0, 8209558.0]"
8211404.0,"[8211563.0, 8212475.0, 8212273.0, 8211983.0, 8211062.0, 8207414.0, 8211395.0]"
8211411.0,"[8209465.0, 8210985.0, 8213875.0, 8200586.0, 8207864.0, 8211505.0, 8213798.0, 8214212.0]"
8211446.0,"[8211385.0, 8212485.0, 8212552.0, 8212276.0, 8302098.0]"
8211508.0,"[8212475.0, 8212291.0, 8212085.0]"
8211550.0,"[8211467.0, 8212131.0, 8211881.0]"
8211552.0,"[8210947.0, 8212307.0, 8214027.0, 8214080.0, 8212274.0, 8325018.0]"
8211560.0,[8211467.0]
8211563.0,"[8211389.0, 8211404.0, 8211983.0, 8211395.0, 8211396.0]"
8211597.0,"[8209724.0, 8210856.0, 8211117.0, 8212307.0, 8214027.0, 8207864.0]"
8211649.0,"[8214319.0, 8212123.0, 8212236.0, 8214855.0, 8214477.0, 8211344.0, 8211148.0, 8210761.0]"
8211662.0,"[8212671.0, 8000140.0, 8000015.0, 8211254.0, 8210319.0, 8206447.0]"
8211752.0,"[8207657.0, 8209668.0, 8211158.0, 8210402.0, 8212253.0, 8211468.0, 8211410.0]"
8211758.0,"[8212570.0, 8214707.0, 8212566.0, 8212552.0]"
8211787.0,"[8212671.0, 8211505.0, 8209558.0, 8214212.0]"
8211850.0,[8214503.0]
8211874.0,"[8210402.0, 8212265.0, 8210165.0, 8210516.0, 8211588.0]"
8211914.0,"[8208448.0, 8211467.0, 8211881.0, 8212291.0]"
8211949.0,[8212485.0]
8212275.0,[8210747.0]
8212307.0,"[8211552.0, 8211597.0, 8214027.0, 8212274.0, 8212085.0, 8211395.0, 8211396.0, 8207864.0]"
8212364.0,[8212291.0]
8212382.0,"[8211025.0, 8210747.0, 8211703.0, 8212291.0]"
8212423.0,"[8210546.0, 8211467.0, 8212123.0]"
8212473.0,"[8210402.0, 8212126.0, 8212273.0, 8210165.0, 8212131.0]"
8212475.0,"[8211404.0, 8211508.0, 8212273.0, 8211881.0, 8212291.0, 8212085.0, 8211395.0]"
8212502.0,"[8210947.0, 8212274.0, 8212291.0, 8212085.0]"
8212570.0,"[8211758.0, 8208967.0, 8212566.0, 8212552.0, 8212276.0]"
8212671.0,"[8211662.0, 8211787.0, 8209558.0, 8000140.0, 8214212.0, 8206447.0]"
8212674.0,[8000140.0]
8212919.0,"[8207767.0, 8214831.0, 8215024.0, 8212485.0, 8212063.0, 8214834.0, 8212276.0, 8315149.0, 8315090.0]"
8213831.0,"[8213834.0, 8213916.0, 8303250.0, 8325360.0, 8325495.0]"
8213855.0,"[8213875.0, 8200586.0, 8214132.0, 8207864.0]"
8213860.0,"[8213932.0, 8214214.0, 8214314.0, 8213897.0]"
8213873.0,"[8214235.0, 8204847.0, 8214311.0, 8210775.0]"
8213875.0,"[8209465.0, 8211411.0, 8213855.0, 8200586.0, 8207864.0]"
8213880.0,"[8200586.0, 8200301.0, 8214132.0]"
8213932.0,"[8200309.0, 8213860.0, 8214214.0, 8214299.0, 8213897.0, 8214198.0, 8213905.0, 8214152.0]"
8214027.0,"[8211117.0, 8211552.0, 8211597.0, 8212307.0, 8214080.0, 8214401.0, 8212161.0, 8207864.0]"
8214080.0,"[8203965.0, 8204020.0, 8211552.0, 8214027.0, 8214134.0, 8212161.0, 8214311.0, 8207864.0, 8325018.0]"
8214134.0,"[8214080.0, 8212161.0, 8207864.0]"
8214214.0,"[8213860.0, 8213932.0, 8213834.0, 8213916.0, 8214314.0, 8213905.0, 8214199.0, 8214009.0]"
8214235.0,"[8209235.0, 8210364.0, 8210448.0, 8213873.0, 8214311.0, 8210775.0, 8207864.0]"
8214320.0,"[8213916.0, 8214314.0, 8325456.0, 8325457.0, 8325483.0]"
8214358.0,"[8200300.0, 8214299.0, 8214322.0, 8214242.0]"
8214398.0,"[8215007.0, 8214834.0, 8214774.0, 8207989.0]"
8214401.0,"[8214027.0, 8212161.0, 8207864.0]"
8214634.0,"[8214936.0, 8214503.0, 8211911.0, 8212138.0, 8214774.0, 8214855.0]"
8214707.0,"[8211385.0, 8211758.0, 8212566.0, 8212552.0, 8214477.0, 8211344.0]"
8214831.0,"[8212919.0, 8215024.0, 8212276.0]"
8214936.0,"[8214634.0, 8211911.0, 8214944.0, 8214319.0, 8214855.0]"
8215007.0,"[8214398.0, 8214774.0, 8207989.0]"
8215024.0,"[8212919.0, 8214831.0, 8214834.0, 8212276.0]"
8301465.0,[8301699.0]
8320338.0,"[8301699.0, 8325519.0, 8301624.0, 8300181.0]"
8210402.0,"[8211126.0, 8211752.0, 8211874.0, 8212473.0, 8212273.0, 8212253.0, 8210165.0, 8211062.0, 8211468.0, 8211588.0]"
8214503.0,"[8211850.0, 8214634.0, 8211911.0, 8212138.0, 8301698.0, 8320318.0, 8320393.0, 8320362.0]"
8204847.0,"[8213873.0, 8214311.0, 8214198.0, 8210775.0, 8324926.0, 8302490.0, 8300285.0]"
8212161.0,"[8204812.0, 8214027.0, 8214080.0, 8214134.0, 8214401.0, 8207864.0]"
8212126.0,"[8212473.0, 8212273.0]"
8212485.0,"[8211446.0, 8211949.0, 8212919.0, 8212276.0, 8315134.0, 8315149.0, 8302098.0, 8315583.0]"
8212063.0,"[8207767.0, 8212919.0]"
8208967.0,"[8212570.0, 8212566.0, 8212552.0, 8212276.0, 8207989.0]"
8211429.0,"[8210244.0, 8210546.0, 8210693.0, 8211385.0, 8212265.0, 8212549.0, 8315558.0]"
8301699.0,"[8210947.0, 8211025.0, 8301465.0, 8320338.0, 8210747.0, 8212236.0, 8300839.0, 8320164.0, 8320471.0, 8325519.0, 8301624.0, 8325429.0]"
8200300.0,"[8214358.0, 8200301.0, 8214322.0, 8214242.0]"
8212273.0,"[8211404.0, 8212473.0, 8212475.0, 8210402.0, 8212126.0, 8212131.0, 8211062.0, 8211881.0, 8211395.0]"
