SUBID,NEIGHBOURS
8801548,['8000659']
8000005,"['8000008', '8000007', '8000006', '8115621', '8105200']"
8115258,"['8102609', '8103951', '8115701', '8115250', '8117208', '8115462', '8101118', '8103805', '8115523']"
8115717,"['8102609', '8000007', '8115317', '8117044', '8117208']"
8000008,"['8000005', '8000007', '8000006']"
8102609,"['8115258', '8115717', '8103951', '8000007', '8117208']"
8103951,"['8115258', '8102609', '8000007', '8115701', '8115621']"
8000007,"['8000005', '8115717', '8000008', '8102609', '8103951', '8000006', '8115621', '8115649', '8115317']"
8000006,"['8000005', '8000008', '8000007', '8105200', '8115649']"
8210176,"['8000475', '8210663']"
8000018,"['8208362', '8208864', '8211298', '8000017', '8000015', '8211254', '8000016']"
8200275,"['8208864', '8210842', '8211298', '8210530', '8200283']"
8200309,"['8214322', '8214198', '8210775']"
8204020,"['8214080', '8324926', '8325018', '8325031']"
8207657,"['8209668', '8211752']"
8208362,"['8000018', '8208864', '8000016', '8000012', '8211211']"
8208448,"['8211914', '8211467', '8210761', '8211703']"
8208577,[]
8208864,"['8000018', '8200275', '8208362', '8211298', '8211211', '8200283']"
8209108,"['8214855', '8214477']"
8209465,"['8211411', '8213875']"
8209668,"['8207657', '8211752', '8211701', '8211730']"
8209724,"['8210856', '8211597']"
8210020,[]
8210244,"['8210546', '8211429', '8212265', '8210165', '8212131', '8212549']"
8210364,['8214235']
8210448,"['8214235', '8214311']"
8210546,"['8210244', '8212423', '8211429', '8211467', '8212123', '8212131', '8212549']"
8210693,"['8211429', '8212265', '8315558', '8210516']"
8210842,"['8200275', '8200283']"
8210856,"['8209724', '8211597']"
8210947,"['8211025', '8211552', '8212502', '8301699', '8212274', '8320164', '8325018', '8325429']"
8210985,"['8211411', '8211505']"
8211025,"['8210947', '8212382', '8301699', '8210747']"
8211385,"['8211446', '8214707', '8211429', '8212552', '8211344', '8212549', '8315558', '8302098']"
8211389,"['8211563', '8211983', '8211730', '8211396', '8211505', '8209558']"
8211404,"['8211563', '8212475', '8212273', '8211983']"
8211411,"['8209465', '8210985', '8213875', '8200586', '8211505', '8213798', '8214212']"
8211446,"['8211385', '8212485', '8212552', '8212276', '8302098']"
8211508,['8212475']
8211552,"['8210947', '8212307', '8214027', '8214080', '8212274', '8325018']"
8211563,"['8211389', '8211404', '8211983', '8211396']"
8211597,"['8209724', '8210856', '8212307', '8214027']"
8211649,"['8214319', '8212123', '8212236', '8214855', '8214477', '8211344', '8211148', '8210761']"
8211662,"['8212671', '8000015', '8211254', '8210319', '8206447']"
8211752,"['8207657', '8209668', '8210402', '8211468']"
8211758,"['8212570', '8214707', '8212566', '8212552']"
8211787,"['8212671', '8211505', '8209558', '8214212']"
8211914,"['8208448', '8211467', '8211881']"
8212307,"['8211552', '8211597', '8214027', '8212274', '8211396']"
8212364,[]
8212382,"['8211025', '8210747', '8211703']"
8212423,"['8210546', '8211467', '8212123']"
8212473,"['8210402', '8212273', '8210165', '8212131']"
8212475,"['8211404', '8211508', '8212273', '8211881']"
8212502,"['8210947', '8212274']"
8212570,"['8211758', '8208967', '8212566', '8212552', '8212276']"
8212671,"['8211662', '8211787', '8209558', '8214212', '8206447']"
8212919,"['8214831', '8215024', '8212485', '8214834', '8212276', '8315149', '8315090']"
8213855,"['8213875', '8200586', '8214132']"
8213873,"['8214235', '8204847', '8214311', '8210775']"
8213875,"['8209465', '8211411', '8213855', '8200586']"
8214027,"['8211552', '8211597', '8212307', '8214080', '8212161']"
8214080,"['8204020', '8211552', '8214027', '8214134', '8212161', '8214311', '8325018']"
8214134,"['8214080', '8212161']"
8214235,"['8210364', '8210448', '8213873', '8214311', '8210775']"
8214320,"['8325456', '8325457', '8325483']"
8214398,"['8215007', '8214834', '8214774']"
8214634,"['8214936', '8214503', '8212138', '8214774', '8214855']"
8214707,"['8211385', '8211758', '8212566', '8212552', '8214477', '8211344']"
8214831,"['8212919', '8215024', '8212276']"
8214936,"['8214634', '8214944', '8214319', '8214855']"
8215007,"['8214398', '8214774']"
8215024,"['8212919', '8214831', '8214834', '8212276']"
8320338,"['8301699', '8325519', '8301624', '8300181']"
8210402,"['8211752', '8212473', '8212273', '8210165', '8211468', '8211588']"
8214503,"['8214634', '8212138', '8320318', '8320393', '8320362']"
8204847,"['8213873', '8214311', '8214198', '8210775', '8324926', '8302490', '8300285']"
8212161,"['8214027', '8214080', '8214134']"
8212485,"['8211446', '8212919', '8212276', '8315134', '8315149', '8302098', '8315583']"
8208967,"['8212570', '8212566', '8212552', '8212276']"
8211429,"['8210244', '8210546', '8210693', '8211385', '8212265', '8212549', '8315558']"
8301699,"['8210947', '8211025', '8320338', '8210747', '8212236', '8300839', '8320164', '8320471', '8325519', '8301624', '8325429']"
8212273,"['8211404', '8212473', '8212475', '8210402', '8212131', '8211881']"
8211983,"['8211389', '8211404', '8211563', '8211730']"
8200586,"['8211411', '8213855', '8213875', '8214132', '8213798', '8214034']"
8211467,"['8208448', '8210546', '8211914', '8212423', '8212123', '8212131', '8211881', '8212494', '8210761']"
8211701,"['8209668', '8212241', '8210530', '8211730', '8211640', '8210929']"
8214944,"['8214936', '8214319', '8212236', '8300839', '8320318']"
8212138,"['8214634', '8214503', '8214834', '8214774', '8320393']"
8212566,"['8211758', '8212570', '8214707', '8208967', '8214477']"
8212274,"['8210947', '8211552', '8212307', '8212502']"
8214319,"['8211649', '8214936', '8214944', '8212236', '8214855']"
8212552,"['8211385', '8211446', '8211758', '8212570', '8214707', '8208967', '8212276']"
8212123,"['8210546', '8211649', '8212423', '8211467', '8211344', '8212549', '8212494', '8211148']"
8214311,"['8210448', '8213873', '8214080', '8214235', '8204847', '8324926']"
8211298,"['8000018', '8200275', '8208864', '8210530', '8000146', '8000017']"
8214834,"['8212919', '8214398', '8215024', '8212138', '8214774', '8212276', '8320393', '8315090']"
8212265,"['8210244', '8210693', '8211429', '8210165', '8210516']"
8210747,"['8211025', '8212382', '8301699', '8212236', '8211148', '8211703']"
8214774,"['8214398', '8214634', '8215007', '8212138', '8214834', '8214855']"
8212241,"['8211701', '8210530', '8210929']"
8212236,"['8211649', '8301699', '8214944', '8214319', '8210747', '8211148', '8210761', '8300839']"
8214132,"['8213855', '8200586', '8214322']"
8214322,"['8200309', '8214132', '8210775']"
8210165,"['8210244', '8212473', '8210402', '8212265', '8212131']"
8212276,"['8211446', '8212570', '8212919', '8214831', '8215024', '8212485', '8208967', '8212552', '8214834']"
8212131,"['8210244', '8210546', '8212473', '8212273', '8211467', '8210165', '8211881']"
8211881,"['8211914', '8212475', '8212273', '8211467', '8212131']"
8213897,"['8214198', '8325457', '8302490']"
8210530,"['8200275', '8211701', '8211298', '8212241', '8000146']"
8214198,"['8200309', '8204847', '8213897', '8210775', '8302490']"
8000146,"['8211298', '8210530', '8000017']"
8214855,"['8209108', '8211649', '8214634', '8214936', '8214319', '8214774', '8214477']"
8214477,"['8209108', '8211649', '8214707', '8212566', '8214855', '8211344']"
8210775,"['8200309', '8213873', '8214235', '8204847', '8214322', '8214198']"
8211730,"['8209668', '8211389', '8211983', '8211701', '8211640', '8209558']"
8000017,"['8000018', '8211298', '8000146', '8000015', '8211254', '8000016']"
8211344,"['8211385', '8211649', '8214707', '8212123', '8214477', '8212549']"
8211640,"['8211701', '8211730', '8210929', '8209558']"
8210929,"['8211701', '8212241', '8211640']"
8212549,"['8210244', '8210546', '8211385', '8211429', '8212123', '8211344']"
8212494,"['8211467', '8212123', '8211148', '8210761']"
8211148,"['8211649', '8212123', '8210747', '8212236', '8212494', '8210761']"
8210761,"['8208448', '8211649', '8211467', '8212236', '8212494', '8211148', '8211703']"
8211703,"['8208448', '8212382', '8210747', '8210761']"
8211396,"['8211389', '8211563', '8212307']"
8211505,"['8210985', '8211389', '8211411', '8211787', '8209558', '8214212']"
8209558,"['8211389', '8211787', '8212671', '8211730', '8211640', '8211505']"
8000015,"['8000018', '8211662', '8000017', '8211254']"
8211254,"['8000018', '8211662', '8000017', '8000015', '8000016']"
8000016,"['8000018', '8208362', '8000017', '8211254', '8000012', '8210319']"
8000012,"['8208362', '8000016', '8210319']"
8000033,"['8302042', '8000032', '8302012', '8000287', '8301914']"
8101268,"['8101274', '8100810']"
8118610,"['8118463', '8118228']"
8210048,"['8210881', '8209030']"
8210881,"['8210048', '8000043', '8000474', '8210720', '8210382', '8201093']"
8000043,"['8210881', '8000474', '8000475']"
8301277,"['8300708', '8301143', '8301079', '8300934', '8301006']"
8101274,['8101268']
8118619,['8118760']
8000046,"['8301482', '8000317', '8301296', '8000469']"
8303884,"['8300422', '8000050', '8000472']"
8303993,"['8303901', '8300422', '8303849', '8303922']"
8301482,"['8000046', '8303901', '8300422', '8000317', '8303849', '8000468', '8000469']"
8303901,"['8303993', '8301482', '8300422', '8303849']"
8300422,"['8303884', '8303993', '8301482', '8303901', '8000050', '8303922', '8303911', '8000468', '8000472', '8305514']"
8000050,"['8303884', '8300422', '8000045', '8000049', '8000471', '8000472', '8000470', '8305561', '8305514']"
8000045,"['8000050', '8000049', '8000471']"
8122473,"['8100357', '8122349', '8123567', '8001003', '8001002', '8000999']"
8000049,"['8000050', '8000045', '8305514']"
8000048,"['8000471', '8305561']"
8000834,"['8000831', '8304267']"
8000831,"['8000834', '8312639', '8312717', '8312741', '8312646', '8304267', '8313261']"
8312639,"['8000831', '8304250', '8312717']"
8303998,"['8000830', '8303976', '8000829', '8304495']"
8000071,"['8000207', '8000067', '8000200', '8301371', '8303483']"
8000076,"['8000083', '8000080', '8122284']"
8000102,"['8000103', '8000097', '8000096']"
8000105,"['8000107', '8205250', '8000103', '8000097', '8000099', '8000104']"
8000107,"['8000105', '8200296', '8200297', '8203754', '8205132', '8000104', '8000106']"
8000567,"['8209008', '8209845', '8209772']"
8200012,"['8200223', '8200277', '8200347', '8200407', '8200021', '8200639', '8200495']"
8200030,"['8200197', '8200341', '8200608', '8200260', '8200072']"
8200041,"['8203494', '8209258', '8213643', '8209168', '8200082', '8208965']"
8200058,"['8200341', '8213662', '8200358']"
8200059,"['8200330', '8200397', '8200547', '8204292', '8200239', '8200218', '8204116']"
8200073,"['8200315', '8200422', '8200521', '8200633', '8200021', '8200495', '8200662']"
8200076,"['8200502', '8200146', '8200087', '8200581']"
8200083,"['8200397', '8200547', '8200234']"
8200119,"['8203924', '8205039', '8205074', '8204940', '8204782']"
8200132,"['8200197', '8200285', '8200341', '8200362', '8200372', '8213287']"
8200136,"['8200271', '8200599', '8200503', '8200278', '8200102']"
8200138,"['8200277', '8200407', '8209794', '8209499']"
8200155,"['8206580', '8206897', '8206615', '8200156']"
8200165,"['8200501', '8200576', '8200176', '8200256', '8200376', '8200335']"
8200191,"['8200185', '8210907', '8212061']"
8200197,"['8200030', '8200132', '8200341', '8200372', '8200608']"
8200198,"['8200204', '8200224', '8200235', '8200092', '8200328', '8200131', '8200439']"
8200204,"['8200198', '8200092', '8200439', '8200140']"
8200208,"['8212923', '8200712', '8209205', '8212518', '8212568']"
8200209,"['8203394', '8205188', '8205378', '8213227', '8213378', '8200445']"
8200223,"['8200012', '8200407', '8200639', '8200503']"
8200224,"['8200198', '8200615', '8200092', '8200562', '8200328']"
8200225,"['8200106', '8200377', '8200140', '8200632']"
8200226,"['8200311', '8200413', '8203919', '8200563', '8200375', '8203917']"
8200235,"['8200198', '8209830', '8200328', '8200066', '8200131']"
8200240,"['8200572', '8200659', '8204163', '8200360', '8200018']"
8200251,"['8204707', '8205386', '8211970', '8211985', '8205068', '8204831']"
8200257,"['8205345', '8204875', '8204652', '8204874', '8213515']"
8200258,"['8200325', '8200408', '8200572', '8200659', '8200492']"
8200271,"['8200136', '8200287', '8200616', '8200278', '8200102', '8200140']"
8200273,"['8200347', '8200619', '8200019', '8200495', '8200202']"
8200277,"['8200012', '8200138', '8200406', '8200407', '8209499', '8200021']"
8200280,"['8200289', '8200408', '8200619', '8200659', '8200019', '8200662', '8200534']"
8200282,"['8200281', '8203948', '8203953']"
8200285,"['8200132', '8200362', '8200372', '8212884', '8213287', '8213127']"
8200287,"['8200271', '8200616', '8200507', '8200439']"
8200289,"['8200280', '8200659', '8200534', '8200242', '8200360']"
8200296,"['8000107', '8200297', '8203754', '8205360', '8203564', '8205270']"
8200297,"['8000107', '8200296', '8205000', '8205378', '8205250', '8205270', '8204652', '8204874']"
8200304,"['8203635', '8204689', '8208286', '8208775', '8208885', '8212497', '8000667', '8000640']"
8200315,"['8200073', '8200422', '8200521', '8200534', '8200242', '8200581']"
8200325,"['8200258', '8200408', '8200492', '8200121']"
8200330,"['8200059', '8200547', '8204292', '8000763', '8200492', '8200121']"
8200336,"['8207392', '8208140', '8200342', '8207691', '8208047']"
8200341,"['8200030', '8200058', '8200132', '8200197', '8213662', '8200072', '8213287', '8213673']"
8200347,"['8200012', '8200273', '8200619', '8200639', '8200495']"
8200348,"['8200486', '8200603', '8200134', '8200018', '8203946']"
8200362,"['8200132', '8200285', '8200486', '8200372', '8200608', '8200134', '8204176', '8212884']"
8200387,"['8200615', '8209899', '8200562']"
8200388,"['8200572', '8204163', '8200610', '8200492']"
8200397,"['8200059', '8200083', '8200540', '8200547', '8200565', '8200239', '8200413', '8200234']"
8200406,"['8200277', '8200633', '8209336', '8209168', '8209499', '8200021', '8209506']"
8200407,"['8200012', '8200138', '8200223', '8200277', '8200653', '8209794', '8200503', '8200278']"
8200408,"['8200258', '8200280', '8200325', '8200449', '8200619', '8200659', '8200121']"
8200422,"['8200073', '8200315', '8200495', '8200662', '8200534', '8200242']"
8200449,"['8200408', '8200619', '8200121', '8200234']"
8200486,"['8200348', '8200362', '8200134', '8203946', '8204235', '8204081', '8204176']"
8200501,"['8200165', '8200576', '8200615', '8200092', '8200176', '8200170']"
8200521,"['8200073', '8200315', '8200633', '8200082', '8200087', '8200581']"
8200540,"['8200397', '8200565', '8200413', '8200106', '8200377']"
8200547,"['8200059', '8200083', '8200330', '8200397', '8200121', '8200234']"
8200565,"['8200397', '8200540', '8200234', '8200450', '8200377']"
8200572,"['8200240', '8200258', '8200388', '8200659', '8204163', '8200492']"
8200576,"['8200165', '8200501', '8200335', '8200181', '8200170', '8206732']"
8200599,"['8200136', '8200619', '8200639', '8200503', '8200234', '8200450', '8200102']"
8200603,"['8200348', '8200018', '8200610', '8203946']"
8200615,"['8200224', '8200387', '8200501', '8200092', '8200562', '8200170']"
8200616,"['8200271', '8200287', '8200278', '8200507']"
8200619,"['8200273', '8200280', '8200347', '8200408', '8200449', '8200599', '8200639', '8200019', '8200234']"
8200621,"['8200311', '8200239', '8200218', '8203919']"
8200633,"['8200073', '8200406', '8200521', '8209168', '8200082', '8200021']"
8200640,"['8207356', '8206240', '8206483', '8200638']"
8200653,"['8200407', '8209229', '8209794', '8200548', '8200371', '8200278']"
8200659,"['8200240', '8200258', '8200280', '8200289', '8200408', '8200572', '8200360']"
8200727,"['8207818', '8207874', '8208518', '8208298', '8207991', '8209223', '8208427']"
8200730,"['8207874', '8208069', '8209019', '8209353', '8208298', '8208784']"
8200844,"['8207148', '8201180', '8205872', '8201284', '8207465']"
8200891,"['8206181', '8206248', '8206340', '8207189', '8207482', '8203966', '8201125']"
8201042,"['8206265', '8206340', '8206300']"
8203391,"['8204707', '8211933', '8213366', '8205111', '8204830', '8204924', '8205091']"
8203394,"['8200209', '8203494', '8204717', '8213378', '8213459', '8200445', '8213399']"
8203494,"['8200041', '8203394', '8204717', '8209258', '8209374', '8213643', '8213399']"
8203635,"['8200304', '8204689', '8208885', '8204446']"
8203667,"['8204766', '8205230', '8205082', '8204317', '8203765']"
8203713,"['8204673', '8204689', '8204671']"
8203754,"['8000107', '8200296', '8205085', '8205132', '8205360', '8200308', '8203564', '8205087']"
8203924,"['8200119', '8204692', '8205039', '8208474', '8208659', '8209109', '8209276', '8204940']"
8204163,"['8200240', '8200388', '8200572', '8200018', '8200610']"
8204182,"['8204673', '8204771', '8204671', '8000100']"
8204292,"['8200059', '8200330', '8204116', '8000763']"
8204574,"['8205085', '8200308', '8205288', '8200678', '8205201']"
8204575,"['8204634', '8200445', '8205285', '8000096']"
